mag_x,mag_y,mag_z
-14.69636,15.413255,14.16806
-12.545673,15.413255,13.822498
-12.545673,15.413255,13.822498
-13.083345,14.158688,13.304154
-13.621016,15.054808,14.859185
-13.262569,15.413255,12.440248
-15.592479,15.950927,13.995279
-15.592479,15.950927,13.995279
-15.592479,15.950927,13.995279
-31.543405,23.657554,4.837874
-37.637016,23.299106,3.110062
-37.278572,22.223762,6.565686
-32.797973,21.327644,8.811842
-32.977195,25.80824,3.801187
-32.977195,25.80824,3.801187
-26.525136,26.166688,4.492311
-18.280838,26.166688,5.183436
-14.875584,25.987464,4.665093
-12.904121,24.37445,5.528999
-8.602747,23.299106,7.602374
-8.602747,23.299106,7.602374
-1.613015,21.327644,2.937281
0.358448,21.14842,1.38225
0.358448,20.789972,0.691125
2.867582,21.14842,-0.345562
1.433791,21.865314,-1.38225
1.433791,21.865314,-1.38225
-3.584478,24.016002,0.345562
-1.613015,23.836778,1.555031
3.22603,20.431524,0.691125
4.122149,18.101613,1.209468
4.122149,18.101613,1.209468
3.22603,18.280838,0.345562
-5.555941,22.402986,3.973968
-10.753434,24.016002,4.146749
-14.875584,24.195226,4.665093
-17.026269,25.270568,5.70178
-17.026269,25.270568,5.70178
-17.743165,26.70436,7.429592
-15.771703,27.242031,5.183436
-16.309373,22.402986,10.194092
-14.69636,22.58221,9.330186
-15.592479,17.743165,13.995279
-15.592479,17.743165,13.995279
-20.2523,18.101613,15.031966
-14.875584,23.119882,9.848529
-8.423523,22.761434,7.08403
-4.122149,20.2523,6.047342
2.329911,18.460062,0.863906
2.329911,18.460062,0.863906
4.659821,19.35618,-1.036687
-0.537672,18.818508,2.246156
-1.792239,22.223762,3.455624
4.839045,21.327644,-3.282843
4.839045,21.327644,-3.282843
9.678091,17.563941,-7.947936
10.215763,15.234031,-6.738467
4.301373,18.280838,-2.764499
-0.358448,18.280838,3.110062
-2.509135,23.299106,4.146749
-2.509135,23.299106,4.146749
-5.376717,21.865314,2.764499
-4.480597,23.836778,1.900593
-8.065075,25.629016,2.937281
-15.234031,28.138151,1.900593
-15.234031,28.138151,1.900593
-24.91212,28.496599,1.209468
-31.005733,27.421255,-0.172781
-36.920124,26.525136,0.691125
-43.909854,22.761434,1.555031
-46.239765,17.563941,1.38225
-46.239765,17.563941,1.38225
-45.164421,24.016002,-2.418937
-41.221496,25.449792,-2.073374
-36.920124,27.958927,-2.418937
-30.468061,28.675823,0.0
-26.70436,27.421255,2.937281
-26.70436,27.421255,2.937281
-22.044538,24.91212,6.047342
-18.818508,24.195226,6.392905
-15.054808,22.940658,7.256811
-9.678091,20.431524,6.911249
-4.839045,20.610748,4.665093
-4.839045,20.610748,4.665093
-0.179224,20.2523,1.900593
-5.197493,22.761434,2.246156
-8.244299,24.016002,3.801187
-9.140419,26.345912,3.628406
-16.488597,27.242031,5.528999
-16.488597,27.242031,5.528999
-16.667821,26.70436,6.738467
-9.857315,26.70436,5.010655
-5.914389,24.553672,2.937281
-3.763702,22.044538,3.973968
1.254567,21.327644,0.172781
1.254567,21.327644,0.172781
6.45206,19.714628,-4.837874
6.45206,20.073076,-5.874561
2.509135,20.789972,-0.691125
-3.584478,28.675823,-1.727812
-3.584478,28.675823,-1.727812
-8.602747,29.751167,-0.691125
-7.527404,28.675823,0.345562
-0.716896,26.525136,-4.146749
2.329911,22.402986,-4.665093
2.867582,24.016002,-5.528999
2.867582,24.016002,-5.528999
-6.45206,26.525136,-1.036687
-12.366449,26.70436,2.937281
-15.950927,27.421255,2.591718
-20.431524,27.958927,1.38225
-20.431524,27.958927,1.38225
-22.761434,29.930391,2.246156
-20.2523,31.005733,0.863906
-15.771703,31.543405,-2.764499
-7.527404,29.751167,-4.492311
-6.810508,27.958927,-3.455624
-6.810508,27.958927,-3.455624
-3.22603,29.751167,-3.801187
-4.839045,26.70436,-1.209468
-9.319643,26.883584,3.455624
-19.893852,28.138151,6.738467
-20.073076,26.166688,5.874561
-20.073076,26.166688,5.874561
-20.610748,25.270568,6.047342
-26.883584,24.016002,7.602374
-36.024002,22.402986,5.70178
-36.561676,23.657554,3.801187
-29.930391,22.402986,5.356218
-29.930391,22.402986,5.356218
-21.506866,23.657554,7.947936
-17.922389,22.940658,8.293498
-24.016002,23.299106,8.293498
-29.034271,24.016002,6.911249
-29.034271,24.016002,6.911249
-26.166688,24.37445,8.639061
-22.402986,20.610748,11.230779
-20.2523,18.101613,13.649717
-12.366449,14.875584,11.921904
-7.885851,14.337912,11.40356
-7.885851,14.337912,11.40356
-6.093613,12.545673,13.131373
-4.839045,10.215763,14.340841
-1.075343,8.244299,12.78581
-1.433791,9.319643,12.78581
-5.018269,16.130149,8.984623
-5.018269,16.130149,8.984623
-10.932658,19.176956,10.194092
-4.301373,19.35618,7.947936
4.839045,14.158688,5.010655
6.631284,11.649554,0.863906
3.584478,13.621016,5.874561
3.584478,13.621016,5.874561
0.716896,15.771703,6.220124
-11.111882,22.58221,6.220124
-17.563941,26.166688,6.220124
-25.80824,26.883584,4.492311
-31.722629,27.779703,0.863906
-31.722629,27.779703,0.863906
-37.278572,25.449792,0.345562
-41.04227,23.119882,0.172781
-41.938392,21.14842,1.727812
-38.353912,17.205493,8.639061
-38.353912,17.205493,8.639061
-38.353912,16.488597,10.712436
-37.637016,13.979464,12.78581
-33.156421,14.517136,15.031966
-28.317375,15.054808,15.55031
-28.317375,15.054808,15.55031
-26.70436,14.875584,13.649717
-18.460062,19.535404,11.921904
-13.441793,24.553672,8.466279
-12.724897,24.195226,7.08403
-12.904121,22.940658,6.220124
-12.904121,22.940658,6.220124
-11.828778,23.299106,6.911249
-6.989732,18.818508,7.429592
-4.122149,18.818508,6.047342
-10.753434,19.714628,9.330186
-18.101613,22.761434,7.775155
-18.101613,22.761434,7.775155
-19.714628,23.657554,9.675748
-19.176956,19.535404,11.230779
-12.724897,22.044538,8.120718
-7.34818,20.969196,6.738467
-2.867582,18.639286,6.565686
-2.867582,18.639286,6.565686
-2.688358,19.176956,6.392905
0.716896,16.488597,6.911249
1.792239,16.130149,4.146749
-4.480597,21.68609,6.738467
-8.602747,22.223762,6.911249
-8.602747,22.223762,6.911249
-9.319643,21.506866,8.293498
-6.989732,19.176956,9.502967
-2.509135,18.280838,4.146749
3.405254,15.950927,4.31953
6.093613,13.262569,2.418937
6.093613,13.262569,2.418937
8.244299,12.187226,0.0
5.376717,18.997732,-2.764499
-4.301373,24.016002,0.345562
-9.319643,27.600479,2.073374
-9.319643,27.600479,2.073374
-13.979464,27.958927,5.528999
-10.394987,24.732896,5.528999
-3.405254,21.327644,5.70178
0.537672,19.893852,1.555031
0.896119,20.969196,1.555031
0.896119,20.969196,1.555031
-5.018269,25.091344,1.38225
-11.111882,29.034271,-0.345562
-17.384717,31.364181,-0.863906
-14.69636,31.184957,-2.073374
-9.857315,28.496599,-1.555031
-9.857315,28.496599,-1.555031
-9.319643,27.242031,-0.691125
-10.574211,28.138151,-0.518344
-16.847045,28.317375,1.036687
-23.119882,28.496599,2.246156
-23.119882,28.496599,2.246156
-27.062808,29.213495,-0.518344
-30.109615,31.184957,-2.764499
-32.618747,31.901853,-5.874561
-25.80824,33.335643,-6.220124
-20.431524,30.468061,-3.801187
-20.431524,30.468061,-3.801187
-20.969196,32.439525,-2.937281
-28.496599,32.797973,-8.120718
-35.307106,31.364181,-10.885217
-40.146152,29.751167,-10.712436
-40.146152,29.751167,-10.712436
-43.013732,27.600479,-10.366873
-45.702095,27.421255,-12.613029
-38.891586,31.722629,-14.686404
-33.514869,33.514869,-14.340841
-29.213495,31.364181,-8.466279
-29.213495,31.364181,-8.466279
-24.016002,31.543405,-2.764499
-30.647285,28.138151,-0.172781
-32.977195,25.80824,-0.345562
-34.052539,29.034271,1.036687
-27.958927,26.883584,2.418937
-27.958927,26.883584,2.418937
-20.969196,28.496599,2.246156
-14.875584,28.138151,0.863906
-13.441793,28.496599,2.246156
-17.026269,28.138151,2.246156
-16.667821,27.779703,3.628406
-16.667821,27.779703,3.628406
-14.158688,28.138151,1.900593
-15.592479,32.081077,-2.591718
-15.413255,35.486331,-16.241434
-10.753434,36.203227,-24.534933
-13.262569,36.920124,-29.372806
-13.262569,36.920124,-29.372806
-17.384717,36.740898,-32.310085
-8.065075,33.156421,-35.765712
-12.545673,32.618747,-41.467491
-6.989732,35.665554,-19.178714
-13.441793,32.439525,-3.282843
-13.441793,32.439525,-3.282843
-20.073076,24.37445,8.639061
-23.47833,12.366449,16.068653
-22.940658,5.376717,19.697057
-22.940658,-6.45206,22.461557
-23.299106,-19.35618,21.079307
-23.299106,-19.35618,21.079307
-24.016002,-20.073076,21.079307
-23.657554,-5.735165,20.388183
-18.639286,12.187226,16.586996
-16.309373,22.761434,5.70178
-16.309373,22.761434,5.70178
-17.922389,32.618747,-4.146749
-17.563941,35.127883,-12.094685
-18.639286,33.335643,-6.565686
-19.35618,23.657554,6.911249
-22.044538,12.366449,15.377529
-22.044538,12.366449,15.377529
-24.37445,5.018269,18.314807
-26.166688,-3.22603,21.770433
-27.958927,-7.168956,21.770433
-26.883584,0.358448,19.005933
-26.883584,0.358448,19.005933
-27.242031,14.337912,15.55031
-21.327644,25.629016,7.775155
-17.922389,27.958927,2.418937
-11.828778,24.016002,8.984623
-8.781971,18.818508,10.885217
-8.781971,18.818508,10.885217
-2.688358,14.875584,8.466279
-6.45206,17.922389,8.293498
-10.932658,27.779703,2.591718
-10.215763,31.005733,-3.282843
-15.413255,35.844779,-6.220124
-15.413255,35.844779,-6.220124
-28.675823,33.335643,0.0
-32.081077,23.47833,8.466279
-34.590209,14.517136,14.340841
-31.543405,0.716896,19.351495
-29.571943,-12.724897,21.597652
-29.571943,-12.724897,21.597652
-28.317375,-21.506866,20.042621
-26.70436,-16.309373,23.325464
-24.732896,3.584478,16.932558
-18.101613,24.91212,7.775155
-18.101613,24.91212,7.775155
-16.309373,34.231765,-5.356218
-13.262569,34.769435,-18.660371
-10.753434,33.694091,-10.021311
-15.592479,25.270568,3.973968
-19.535404,17.384717,12.958592
-19.535404,17.384717,12.958592
-19.176956,14.875584,15.377529
-16.667821,22.044538,8.811842
-13.083345,24.553672,4.31953
-17.026269,18.818508,10.539654
-17.743165,16.309373,13.304154
-17.743165,16.309373,13.304154
-15.413255,15.413255,14.16806
-5.376717,21.14842,5.183436
-0.896119,20.610748,2.591718
0.179224,18.101613,3.282843
-0.537672,18.818508,4.31953
-0.537672,18.818508,4.31953
-2.150687,18.997732,6.565686
-0.537672,17.384717,5.70178
-7.885851,23.299106,2.764499
-11.291106,22.402986,7.08403
-13.979464,19.35618,11.057998
-13.979464,19.35618,11.057998
-16.667821,15.592479,13.649717
-17.026269,13.083345,15.377529
-14.337912,10.753434,17.278121
-13.441793,15.592479,13.649717
-13.441793,15.592479,13.649717
-17.205493,18.997732,12.78581
-20.789972,25.449792,8.639061
-21.506866,31.901853,1.38225
-21.865314,35.486331,-3.455624
-21.865314,35.486331,-3.455624
-18.101613,36.024002,-9.848529
-12.187226,34.052539,-8.984623
-5.018269,31.184957,-8.639061
0.716896,29.751167,-12.094685
3.22603,26.525136,-18.660371
3.22603,26.525136,-18.660371
6.989732,23.836778,-17.796464
4.301373,22.940658,-7.256811
2.509135,21.865314,-0.345562
0.0,22.223762,-0.345562
-9.678091,22.223762,4.837874
-9.678091,22.223762,4.837874
-7.885851,21.865314,7.602374
-9.857315,17.743165,9.502967
-6.093613,18.639286,7.256811
-3.942926,23.657554,2.764499
-3.584478,29.751167,-3.801187
-3.584478,29.751167,-3.801187
-5.914389,33.873317,-9.157404
-8.065075,35.307106,-15.377529
-6.989732,33.514869,-14.686404
-0.358448,29.751167,-9.675748
0.716896,26.166688,-5.874561
0.716896,26.166688,-5.874561
0.0,26.166688,-5.183436
-6.631284,28.855047,-2.246156
-10.215763,27.421255,0.518344
-14.517136,28.855047,3.282843
-17.743165,26.345912,7.429592
-17.743165,26.345912,7.429592
-15.950927,23.836778,6.738467
-10.753434,23.657554,8.639061
-8.423523,21.327644,6.047342
-9.857315,22.402986,9.157404
-10.753434,20.431524,9.330186
-10.753434,20.431524,9.330186
-13.083345,20.2523,9.848529
-13.441793,20.610748,10.194092
-15.413255,21.865314,10.712436
-15.413255,20.789972,10.366873
-15.413255,20.789972,10.366873
-12.366449,24.195226,7.775155
-4.480597,28.496599,-1.555031
1.075343,29.392719,-9.675748
5.376717,26.883584,-16.586996
9.140419,23.47833,-15.377529
9.140419,23.47833,-15.377529
9.319643,18.639286,-5.183436
3.942926,18.997732,-1.727812
-2.329911,22.761434,1.555031
-7.168956,24.016002,5.183436
-7.168956,24.016002,5.183436
-4.659821,22.58221,5.183436
-2.150687,26.525136,-0.345562
-1.433791,31.901853,-8.639061
-2.150687,31.901853,-12.094685
-2.150687,32.260299,-11.749123
-2.150687,32.260299,-11.749123
-4.659821,34.769435,-13.476935
-5.914389,34.231765,-15.031966
-7.527404,35.844779,-13.131373
-10.753434,35.127883,-12.094685
-2.867582,30.468061,-10.366873
-2.867582,30.468061,-10.366873
2.688358,27.421255,-10.539654
1.792239,26.525136,-8.293498
-0.716896,27.600479,-6.565686
-0.896119,28.138151,-5.70178
-0.896119,28.138151,-5.70178
-5.376717,29.392719,-3.455624
-11.291106,28.496599,0.863906
-17.026269,25.270568,5.70178
-18.101613,20.969196,10.194092
-16.488597,21.865314,10.366873
-16.488597,21.865314,10.366873
-14.158688,19.535404,10.539654
-13.083345,20.610748,11.230779
-10.394987,17.922389,11.40356
-6.810508,19.35618,9.675748
-4.659821,15.054808,9.675748
-4.659821,15.054808,9.675748
-4.480597,14.517136,10.539654
-4.480597,14.517136,10.539654
-1.613015,18.818508,6.738467
-0.179224,23.119882,1.555031
2.329911,25.629016,-4.665093
2.329911,25.629016,-4.665093
1.075343,27.600479,-7.947936
-0.179224,25.987464,-8.120718
2.329911,25.270568,-6.738467
1.971463,24.91212,-5.70178
-0.537672,25.629016,-2.937281
-0.537672,25.629016,-2.937281
-6.45206,28.675823,0.0
-15.413255,27.600479,3.801187
-22.223762,26.525136,6.911249
-25.80824,23.657554,8.984623
-25.80824,23.657554,8.984623
-23.657554,23.299106,9.675748
-18.460062,25.270568,8.811842
-14.337912,27.600479,4.837874
-13.979464,28.317375,3.110062
-13.979464,28.317375,3.110062
-14.337912,27.242031,3.110062
-13.262569,27.600479,5.183436
-10.574211,25.629016,3.973968
-8.961195,22.58221,6.565686
-5.376717,18.997732,9.675748
-5.376717,18.997732,9.675748
-8.065075,17.026269,9.848529
-7.885851,16.130149,11.40356
-10.394987,15.413255,11.057998
-12.904121,17.205493,14.513623
-13.979464,17.563941,11.40356
-13.979464,17.563941,11.40356
-10.753434,20.789972,8.984623
-7.885851,26.525136,3.110062
-4.839045,29.571943,-5.010655
-2.867582,32.977195,-15.55031
0.716896,31.184957,-17.278121
0.716896,31.184957,-17.278121
-0.179224,31.005733,-13.995279
-2.150687,29.392719,-9.675748
-5.197493,29.930391,-6.738467
-3.22603,27.242031,-4.146749
-2.867582,27.242031,-2.073374
-2.867582,27.242031,-2.073374
-4.301373,27.242031,-1.036687
-5.197493,25.987464,0.863906
-6.631284,25.629016,2.591718
-5.376717,26.166688,3.110062
-6.810508,28.675823,0.691125
-6.810508,28.675823,0.691125
-7.885851,32.977195,-8.984623
-8.423523,35.665554,-11.230779
-11.828778,35.486331,-11.057998
-13.621016,35.127883,-10.021311
-13.621016,35.127883,-10.021311
-19.176956,33.514869,-8.466279
-22.044538,33.514869,-6.738467
-32.977195,32.260299,-6.220124
-37.637016,27.958927,0.345562
-37.099346,25.270568,1.555031
-37.099346,25.270568,1.555031
-38.17469,24.195226,3.628406
-37.099346,22.761434,4.665093
-33.873317,21.68609,8.120718
-29.571943,22.044538,9.848529
-18.101613,24.195226,8.120718
-18.101613,24.195226,8.120718
-13.262569,26.525136,5.874561
-9.857315,25.629016,5.356218
-7.168956,24.37445,4.492311
-2.150687,22.940658,4.492311
-2.150687,22.940658,4.492311
-2.150687,24.732896,2.073374
-3.22603,23.299106,2.418937
-3.046806,26.345912,0.518344
-5.376717,24.732896,0.0
-10.036539,26.883584,3.455624
-10.036539,26.883584,3.455624
-13.979464,25.449792,6.911249
-17.205493,24.732896,7.602374
-18.101613,23.119882,7.775155
-21.14842,21.506866,10.366873
-21.68609,20.2523,11.230779
-21.68609,20.2523,11.230779
-21.68609,19.176956,12.958592
-19.535404,19.535404,13.304154
-18.460062,19.893852,12.958592
-19.176956,19.535404,11.921904
-19.176956,19.535404,11.921904
-16.847045,22.223762,10.021311
-9.857315,27.062808,2.246156
-5.018269,27.958927,-1.727812
-5.735165,27.600479,-2.764499
-4.301373,25.80824,0.691125
-4.301373,25.80824,0.691125
-7.885851,25.091344,2.418937
-7.706627,23.47833,5.70178
-8.244299,23.299106,6.565686
-9.319643,22.58221,6.565686
-9.498867,24.195226,5.010655
-9.498867,24.195226,5.010655
-14.69636,25.80824,5.528999
-23.836778,27.062808,6.392905
-28.138151,24.553672,7.08403
-25.80824,27.958927,6.220124
-17.563941,31.543405,2.073374
-17.563941,31.543405,2.073374
-13.262569,30.468061,-0.691125
-20.610748,29.571943,2.937281
-24.37445,27.958927,4.837874
-29.392719,25.80824,5.528999
-26.70436,27.421255,7.08403
-26.70436,27.421255,7.08403
-24.37445,26.166688,6.911249
-20.789972,27.600479,5.528999
-15.234031,26.70436,3.973968
-10.574211,25.987464,1.209468
-10.574211,25.987464,1.209468
-7.885851,25.091344,0.0
-2.867582,26.525136,-2.073374
0.896119,24.195226,-5.356218
3.584478,24.016002,-4.837874
3.584478,24.016002,-4.837874
3.405254,25.629016,-7.429592
-0.179224,27.421255,-5.010655
-2.688358,28.855047,-1.900593
-4.122149,25.629016,0.863906
-4.301373,23.657554,3.455624
-4.301373,23.657554,3.455624
-3.763702,22.761434,5.010655
-4.122149,22.761434,3.282843
-6.989732,23.47833,4.665093
-12.187226,25.449792,4.492311
-18.818508,29.571943,2.591718
-18.818508,29.571943,2.591718
-24.91212,28.855047,5.70178
-32.797973,23.836778,6.392905
-37.995464,20.431524,6.565686
-30.647285,21.327644,11.921904
-22.402986,20.610748,12.958592
-22.402986,20.610748,12.958592
-18.280838,19.714628,11.057998
-16.309373,21.327644,11.230779
-13.621016,20.789972,10.021311
-7.885851,21.506866,8.293498
-9.140419,20.610748,9.157404
-9.140419,20.610748,9.157404
-7.706627,21.327644,7.08403
-5.735165,20.073076,5.874561
-4.659821,20.789972,6.220124
-9.857315,21.327644,8.811842
-13.441793,22.761434,8.811842
-13.441793,22.761434,8.811842
-15.234031,22.044538,9.502967
-14.875584,20.969196,9.502967
-14.158688,21.68609,10.194092
