mag_x,mag_y,mag_z
10.036539,21.506866,-16.932558
2.688358,29.930391,-28.163337
2.688358,29.930391,-28.163337
-12.724897,32.439525,-38.530212
-35.127883,30.826509,-42.504177
-60.577674,13.979464,-38.011867
-68.284301,-17.026269,-27.472213
-60.21923,-37.278572,-12.440248
-60.21923,-37.278572,-12.440248
-47.494331,-47.135883,2.937281
-33.873317,-38.533138,16.414215
-25.80824,-27.958927,22.461557
-22.044538,-17.384717,25.053276
-22.223762,12.904121,19.697057
-22.223762,12.904121,19.697057
-17.743165,25.987464,7.429592
-8.423523,36.740898,-9.157404
2.867582,31.543405,-29.372806
5.555941,22.044538,-38.184646
6.989732,18.818508,-41.294712
6.989732,18.818508,-41.294712
-6.45206,36.203227,-33.865116
-28.855047,38.17469,-8.811842
-30.288837,25.629016,10.885217
-21.14842,6.810508,23.498245
-8.781971,-12.724897,24.707714
-8.781971,-12.724897,24.707714
-5.555941,-20.969196,19.524276
-11.828778,-21.14842,22.461557
-25.449792,-21.865314,25.226057
-39.250034,-25.270568,21.252088
-46.598213,-31.543405,15.55031
-46.598213,-31.543405,15.55031
-47.673557,-32.618747,14.513623
-38.353912,-19.35618,22.115995
-19.535404,-10.932658,26.435525
-9.857315,-9.498867,23.671026
-9.857315,-9.498867,23.671026
-7.527404,-0.716896,21.424871
-5.914389,17.384717,10.885217
-2.867582,26.883584,-1.036687
-1.075343,31.543405,-9.330186
1.613015,32.081077,-10.885217
1.613015,32.081077,-10.885217
0.537672,30.288837,-12.613029
4.301373,24.732896,-9.675748
9.678091,20.431524,-12.094685
15.054808,13.621016,-20.042621
15.054808,13.621016,-20.042621
17.026269,5.914389,-23.671026
16.488597,5.376717,-25.226057
18.101613,1.254567,-24.707714
20.073076,-10.036539,-21.424871
20.073076,-10.036539,-21.424871
20.073076,-10.036539,-21.424871
7.885851,-36.920124,-9.330186
2.509135,-44.447525,-8.984623
-17.026269,-53.587944,-9.848529
-35.665554,-54.30484,-10.885217
-52.691825,-45.881317,-9.675748
-52.691825,-45.881317,-9.675748
-59.681556,-38.533138,-12.613029
-50.720363,-47.135883,-23.671026
-39.608482,-52.512599,-13.649717
-36.38245,-53.946392,-2.246156
-29.213495,-45.343647,9.848529
-29.213495,-45.343647,9.848529
