mag_x,mag_y,mag_z
-4.122149,-14.517136,18.833152
-7.706627,-10.574211,21.252088
-7.706627,-10.574211,21.252088
-8.423523,-3.763702,19.869838
-18.997732,3.584478,21.079307
-32.797973,4.122149,19.869838
-43.013732,-11.828778,19.697057
-44.089076,-25.80824,18.314807
-44.089076,-25.80824,18.314807
-43.013732,-27.600479,15.55031
-42.117614,0.537672,18.48759
-21.327644,14.158688,16.068653
-10.932658,10.215763,17.10534
-3.046806,5.555941,14.686404
-3.046806,5.555941,14.686404
0.896119,-5.555941,15.377529
0.896119,-13.083345,14.686404
1.433791,-5.018269,15.55031
6.810508,-0.716896,10.712436
6.272836,11.649554,2.246156
6.272836,11.649554,2.246156
-9.140419,13.80024,13.995279
-35.307106,-4.480597,21.943214
-37.995464,-26.525136,20.042621
-31.005733,-29.213495,21.252088
-25.629016,-20.610748,22.288776
-25.629016,-20.610748,22.288776
-27.958927,-18.280838,23.498245
-35.844779,-21.865314,20.733745
-33.335643,-24.732896,21.079307
-31.005733,-27.779703,20.906526
-32.081077,-29.213495,19.869838
-32.081077,-29.213495,19.869838
-37.995464,-31.901853,18.314807
-43.013732,-20.073076,19.005933
-43.013732,-1.433791,18.660371
-26.70436,14.517136,17.10534
-26.70436,14.517136,17.10534
-22.044538,15.592479,14.686404
-13.441793,12.366449,17.10534
-8.423523,5.197493,16.414215
-9.319643,-3.584478,20.042621
-7.34818,-12.366449,19.178714
-7.34818,-12.366449,19.178714
-2.150687,-19.35618,13.822498
-10.394987,-6.093613,21.770433
-23.299106,-8.244299,22.461557
-32.260299,-12.187226,21.079307
-32.260299,-12.187226,21.079307
-34.590209,-15.234031,21.597652
-33.514869,-14.875584,22.288776
-18.818508,-1.613015,21.943214
-7.706627,7.706627,17.10534
-7.706627,7.706627,17.10534
-7.706627,7.706627,17.10534
-7.34818,1.254567,19.178714
-18.639286,12.187226,16.241434
-25.987464,16.667821,13.304154
-26.883584,18.997732,10.712436
-36.740898,16.309373,13.649717
-36.740898,16.309373,13.649717
-22.58221,13.621016,18.660371
-21.14842,16.130149,14.513623
-27.242031,27.958927,6.911249
-21.865314,28.675823,4.146749
-17.205493,24.37445,4.146749
-17.205493,24.37445,10.712436
-20.789972,18.280838,14.513623
-36.203227,20.789972,11.40356
-44.089076,10.036539,14.513623
-37.278572,-14.69636,21.770433
-37.278572,-14.69636,21.770433
-31.901853,-0.358448,21.424871
-40.863048,13.979464,14.859185
-39.608482,-4.480597,20.906526
-38.353912,-8.244299,20.733745
-51.078811,10.932658,10.885217
-51.078811,10.932658,10.885217
-49.465793,-11.828778,17.969245
-39.250034,-3.046806,20.215402
-48.928123,10.574211,9.848529
-56.455528,-15.234031,9.848529
-44.62675,-18.818508,18.48759
-44.62675,-18.818508,18.48759
-55.917854,-21.506866,8.984623
-53.050273,-28.317375,10.366873
-36.203227,-26.525136,20.042621
-45.702095,-24.91212,18.48759
-47.673557,-26.525136,15.204748
-47.673557,-26.525136,15.204748
-40.683822,-29.213495,18.48759
-52.333377,-31.901853,10.021311
-53.767169,-6.093613,12.094685
-37.099346,18.460062,11.230779
-37.099346,18.460062,11.230779
-41.04227,17.384717,12.267467
-36.203227,12.904121,15.55031
-18.280838,24.016002,11.40356
-9.498867,21.68609,8.466279
-3.405254,23.836778,4.31953
-3.405254,23.836778,4.31953
3.22603,14.337912,3.801187
-8.423523,23.47833,6.738467
-31.543405,20.789972,8.984623
-28.675823,9.678091,16.241434
-28.675823,9.678091,16.241434
-3.046806,4.839045,15.031966
1.792239,8.961195,10.021311
4.122149,3.405254,9.502967
9.678091,0.0,7.602374
-6.989732,4.122149,16.068653
-6.989732,4.122149,16.068653
-12.366449,15.950927,13.649717
-17.384717,23.836778,9.157404
-17.384717,5.197493,19.524276
-11.111882,-11.47033,21.424871
-5.914389,-13.80024,20.215402
-5.914389,-13.80024,20.215402
-1.433791,-12.187226,16.932558
2.688358,-3.046806,14.340841
4.659821,-4.659821,13.131373
0.179224,-13.083345,17.796464
0.896119,2.688358,12.958592
0.896119,2.688358,12.958592
-2.329911,19.176956,6.392905
-3.763702,8.781971,14.686404
-0.358448,-10.036539,18.660371
7.34818,-9.498867,11.230779
5.018269,-4.659821,11.749123
5.018269,-4.659821,11.749123
5.914389,-14.875584,9.848529
6.093613,-22.223762,7.947936
-3.405254,-22.761434,13.649717
10.036539,-21.865314,2.764499
16.488597,-16.130149,-5.183436
16.488597,-16.130149,-5.183436
5.555941,-12.008002,12.958592
-5.197493,-1.613015,20.215402
-9.857315,6.631284,19.178714
-10.574211,12.008002,16.414215
-10.574211,12.008002,16.414215
-11.111882,5.376717,19.697057
-12.366449,-11.291106,22.288776
-12.904121,-27.958927,18.660371
-11.47033,-36.203227,13.822498
-9.498867,-36.38245,10.539654
-9.498867,-36.38245,10.539654
-10.932658,-39.250034,10.885217
-8.781971,-38.17469,10.539654
-8.244299,-34.052539,11.40356
-6.45206,-30.109615,14.16806
-6.45206,-30.109615,14.16806
-8.781971,-28.855047,17.450902
-9.498867,-26.70436,17.450902
-12.545673,-27.242031,17.969245
-10.215763,-27.779703,17.10534
-11.291106,-33.156421,15.723091
-11.291106,-33.156421,15.723091
-6.989732,-41.759166,6.047342
-13.80024,-50.720363,-9.848529
-15.771703,-53.408721,-17.278121
-19.176956,-53.229496,-20.906526
-17.563941,-53.050273,-6.220124
-17.563941,-53.050273,-6.220124
-13.441793,-35.665554,11.576342
-9.678091,-23.657554,17.969245
-13.441793,-20.610748,18.48759
-22.223762,-25.80824,17.969245
-14.158688,-24.553672,18.142026
-14.158688,-24.553672,18.142026
-11.828778,-17.922389,17.278121
-8.602747,-17.205493,22.461557
-20.431524,-43.013732,11.749123
-28.496599,-52.154151,-8.466279
-28.496599,-52.154151,-8.466279
-36.920124,-51.974929,-22.461557
-36.561676,-49.465793,-30.755056
-37.637016,-46.598213,-36.629615
-25.629016,-53.946392,-16.759777
-34.948657,-42.117614,10.885217
-34.948657,-42.117614,10.885217
-36.38245,-29.930391,17.10534
-31.184957,-34.410987,16.586996
-25.987464,-51.795703,-0.172781
-24.732896,-39.429256,10.712436
-25.80824,-24.37445,20.388183
-25.80824,-24.37445,20.388183
-19.714628,-24.37445,21.424871
-20.431524,-29.034271,19.351495
-22.761434,-50.720363,-0.172781
-23.47833,-49.645019,3.973968
-23.657554,-31.901853,16.932558
-23.657554,-31.901853,16.932558
-24.016002,-32.977195,17.623683
-25.449792,-40.863048,12.440248
-7.168956,-38.353912,7.602374
-4.301373,-34.769435,11.057998
-4.301373,-34.769435,11.057998
-13.621016,-32.260299,18.314807
-25.091344,-35.486331,16.932558
-37.995464,-38.71236,11.057998
-53.587944,-36.024002,0.518344
-61.115348,-29.930391,-2.591718
-61.115348,-29.930391,-2.591718
-40.146152,-41.579944,8.293498
-36.203227,-42.655288,9.675748
-51.974929,-39.787704,-2.073374
-59.860782,-30.826509,-3.110062
-58.785438,-30.826509,-3.110062
-58.785438,-30.468061,1.38225
-52.333377,-31.901853,9.675748
-43.37218,-31.543405,15.204748
-51.258033,-40.146152,1.727812
-45.522869,-50.541137,-17.969245
-45.522869,-50.541137,-17.969245
-21.14842,-50.899585,-31.44618
-8.065075,-30.288837,-50.624897
-15.592479,-13.083345,-59.263957
-20.610748,9.857315,-61.337329
-20.969196,26.70436,-55.117206
-20.969196,26.70436,-55.117206
-22.044538,28.496599,-51.661582
-24.016002,24.732896,-54.944427
-18.639286,-11.828778,-61.855674
-22.402986,-48.569675,-37.14796
-32.260299,-53.408721,-2.418937
-32.260299,-53.408721,-2.418937
-43.551406,-39.96693,10.539654
-45.522869,-28.317375,14.513623
-44.62675,-24.195226,19.869838
-41.938392,-23.299106,19.005933
-39.070808,-20.789972,20.388183
-39.070808,-20.789972,20.388183
-36.024002,-20.969196,21.943214
-31.722629,-17.026269,21.597652
-31.184957,2.867582,23.152683
-36.740898,25.270568,7.429592
-39.429256,31.543405,-3.801187
-39.429256,31.543405,-3.801187
-38.533138,37.457794,-18.833152
-38.533138,38.891586,-24.016588
-37.637016,37.995464,-26.953868
-36.561676,38.71236,-26.953868
-36.561676,38.71236,-26.953868
-25.80824,35.844779,-43.195304
-5.914389,13.441793,-56.153896
-3.942926,-1.792239,-56.672237
-3.584478,-2.867582,-58.054489
-3.584478,-2.867582,-58.054489
-20.073076,36.561676,-41.121929
-37.099346,33.873317,-5.356218
-39.070808,8.244299,16.932558
-36.561676,-14.69636,21.770433
-30.288837,-29.571943,20.215402
-30.288837,-29.571943,20.215402
-27.779703,-15.234031,21.597652
-22.940658,20.073076,12.094685
-17.922389,34.052539,-4.492311
-8.781971,37.816242,-17.10534
-12.366449,38.17469,-11.230779
-12.366449,38.17469,-11.230779
-23.119882,14.158688,18.142026
-29.751167,-17.563941,22.115995
-25.629016,-29.213495,19.524276
-24.553672,-20.610748,21.597652
-17.922389,18.280838,12.78581
-17.922389,18.280838,12.78581
-20.610748,28.855047,3.973968
-36.203227,31.543405,-0.345562
-45.343647,8.423523,15.377529
-37.457794,-18.101613,21.943214
-32.439525,-18.101613,22.634338
-32.439525,-18.101613,22.634338
-36.920124,-30.109615,18.314807
-46.777435,-40.325374,7.08403
-54.484062,-36.561676,3.455624
-56.993198,-29.392719,5.528999
-45.164421,-16.847045,17.969245
-45.164421,-16.847045,17.969245
-33.514869,-4.480597,22.288776
-30.109615,-11.47033,23.152683
-33.156421,-20.610748,20.906526
-31.005733,-3.405254,20.906526
-32.260299,12.545673,18.314807
-32.260299,12.545673,18.314807
-48.032005,11.47033,10.021311
-56.993198,9.319643,3.801187
-58.606212,-3.763702,9.157404
-50.541137,-5.376717,15.55031
-50.541137,-5.376717,15.55031
-43.909854,22.044538,5.70178
-36.203227,32.618747,-2.073374
-16.130149,40.146152,-16.586996
-4.659821,34.410987,-30.755056
3.405254,27.779703,-34.38346
3.405254,27.779703,-34.38346
-2.688358,34.231765,-22.634338
-17.743165,37.457794,-8.811842
-38.353912,25.80824,5.183436
-29.930391,18.460062,15.377529
-29.930391,18.460062,15.377529
-30.468061,10.753434,19.697057
-32.618747,-20.073076,21.770433
-36.024002,-32.439525,18.48759
-34.410987,-36.203227,15.55031
-34.231765,-24.553672,20.560964
-34.231765,-24.553672,20.560964
-37.099346,-0.896119,21.252088
-34.948657,1.971463,20.906526
-35.127883,-21.506866,22.115995
-37.637016,-33.335643,16.241434
-38.71236,-39.070808,13.476935
-38.71236,-39.070808,13.476935
-37.995464,-39.787704,13.131373
-37.099346,-38.533138,11.230779
-37.099346,-38.533138,11.230779
-25.270568,-49.286571,3.973968
-21.327644,-50.361915,-0.172781
-21.327644,-50.361915,-0.172781
-16.309373,-49.645019,-3.282843
-13.083345,-51.078811,-7.775155
-12.724897,-50.361915,-8.466279
-4.301373,-48.032005,-13.822498
5.735165,-39.070808,-21.770433
5.735165,-39.070808,-21.770433
4.122149,-38.17469,-29.200025
5.555941,-38.891586,-28.163337
4.480597,-38.533138,-26.781087
7.34818,-36.38245,-13.649717
7.34818,-36.38245,-13.649717
-1.254567,-38.17469,0.863906
-6.810508,-35.844779,10.021311
-13.083345,-28.496599,16.068653
-13.441793,-15.950927,20.906526
-10.036539,-14.337912,20.388183
-10.036539,-14.337912,20.388183
-12.904121,-21.865314,19.697057
-16.667821,-42.117614,9.502967
-17.563941,-49.824241,-3.110062
-15.592479,-52.871047,-14.686404
-10.574211,-48.928123,-10.539654
-10.574211,-48.928123,-10.539654
-5.914389,-28.138151,11.576342
-5.018269,-6.093613,16.586996
-6.272836,3.763702,16.414215
-7.34818,9.857315,13.995279
-7.34818,9.857315,13.995279
-7.34818,13.083345,12.958592
-5.376717,2.150687,18.314807
-0.179224,-19.893852,12.958592
1.971463,-27.779703,6.738467
-4.122149,-42.117614,-1.209468
-4.122149,-42.117614,-1.209468
-10.932658,-49.286571,-11.921904
-1.613015,-37.816242,-0.172781
10.932658,-4.839045,4.31953
13.441793,8.781971,-5.356218
13.441793,8.781971,-5.356218
13.441793,12.366449,-10.194092
13.083345,-11.649554,-0.172781
1.792239,-36.561676,-3.455624
-6.45206,-44.805973,-3.455624
-19.893852,-51.078811,-1.900593
-19.893852,-51.078811,-1.900593
-21.68609,-37.816242,13.304154
-17.384717,-19.535404,21.252088
-21.506866,-35.486331,14.859185
-26.345912,-43.909854,8.466279
-24.016002,-30.109615,18.660371
-24.016002,-30.109615,18.660371
-25.270568,-34.231765,15.031966
-19.35618,-35.127883,14.16806
-8.781971,-19.176956,17.450902
-9.678091,-25.449792,17.278121
-5.376717,-24.732896,15.204748
-5.376717,-24.732896,15.204748
-6.272836,-27.062808,14.686404
-10.215763,-32.439525,14.686404
-10.753434,-33.694091,13.822498
-10.753434,-35.486331,12.094685
-5.735165,-29.392719,14.16806
-5.735165,-29.392719,14.16806
-3.405254,-32.081077,9.502967
-2.329911,-28.855047,11.230779
3.046806,-14.158688,12.267467
3.046806,2.329911,10.885217
-1.613015,9.857315,11.230779
-1.613015,9.857315,11.230779
-4.480597,16.309373,8.120718
-1.075343,23.299106,0.345562
3.584478,27.958927,-26.262744
-1.254567,19.893852,-46.478145
-1.254567,19.893852,-46.478145
-3.763702,18.460062,-49.242645
-4.122149,22.402986,-48.551521
-7.706627,31.005733,-39.221336
-11.649554,34.948657,-12.613029
-11.649554,34.948657,-12.613029
-13.441793,26.70436,3.628406
-11.828778,20.431524,10.366873
-4.839045,11.649554,11.921904
-3.405254,1.613015,16.414215
-10.036539,-10.394987,20.042621
-10.036539,-10.394987,20.042621
-13.262569,-23.657554,16.586996
-19.176956,-36.024002,14.686404
-29.213495,-46.418987,2.591718
-35.665554,-51.795703,-15.031966
-48.211227,-40.683822,-37.493522
-48.211227,-40.683822,-37.493522
-55.200958,-25.449792,-44.23199
-59.323108,-18.818508,-42.676959
-53.229496,-35.665554,-36.111274
-33.694091,-51.616481,-4.492311
-24.91212,-48.211227,-0.518344
-24.91212,-48.211227,-0.518344
-14.517136,-46.777435,0.863906
-3.22603,-41.938392,-0.691125
4.480597,-32.797973,-2.591718
10.574211,-21.68609,0.863906
8.781971,-10.574211,7.775155
8.781971,-10.574211,7.775155
0.716896,-1.792239,14.513623
0.716896,-1.792239,14.513623
-10.215763,9.857315,15.031966
-5.735165,29.034271,-5.183436
-5.018269,31.184957,-35.247367
-5.018269,31.184957,-35.247367
-6.093613,20.431524,-49.76099
-13.083345,4.480597,-58.57283
-13.979464,-16.130149,-57.363361
-17.205493,-40.5046,-41.121929
-17.205493,-40.5046,-41.121929
-18.280838,-50.182689,-23.498245
-19.714628,-44.447525,-36.975181
-15.413255,-10.036539,-58.400051
-24.732896,15.054808,-59.436737
-18.818508,38.533138,-29.200025
-18.818508,38.533138,-29.200025
-10.036539,28.317375,1.036687
-9.857315,12.008002,15.031966
-9.498867,0.896119,19.178714
-10.932658,-10.215763,19.178714
-10.932658,-10.215763,19.178714
-11.649554,-18.818508,19.869838
-10.394987,-22.58221,17.969245
-10.932658,-24.553672,16.759777
-9.140419,-33.156421,12.613029
-7.527404,-37.278572,6.220124
-7.527404,-37.278572,6.220124
-2.509135,-32.260299,7.256811
0.537672,-27.421255,7.775155
-1.254567,-27.779703,8.466279
-1.971463,-28.855047,8.466279
-6.45206,-27.958927,12.440248
-6.45206,-27.958927,12.440248
-10.394987,-37.637016,7.947936
-22.044538,-51.078811,-11.921904
-30.468061,-50.541137,-26.262744
-33.335643,-49.824241,-31.100618
-33.694091,-47.315109,-35.247367
-33.694091,-47.315109,-35.247367
-36.740898,-43.909854,-40.258022
-43.551406,-30.647285,-49.933769
-47.494331,-22.402986,-52.007144
-48.211227,-28.138151,-48.205959
-48.211227,-28.138151,-48.205959
-50.541137,-35.127883,-41.467491
-46.956661,-42.655288,-34.556243
-41.221496,-44.089076,-35.247367
-32.618747,-43.37218,-42.849742
-27.600479,-36.561676,-48.724304
-27.600479,-36.561676,-48.724304
-27.958927,-33.335643,-52.871051
-26.166688,-27.600479,-56.326675
-25.449792,-22.58221,-57.708927
-24.553672,-17.743165,-60.646205
-25.449792,-11.828778,-60.473426
-25.449792,-11.828778,-60.473426
-19.535404,1.971463,-60.991767
-18.280838,12.545673,-58.400051
-16.847045,12.904121,-55.981113
-22.044538,-16.309373,-59.263957
-31.722629,-44.62675,-39.221336
-31.722629,-44.62675,-39.221336
-36.024002,-51.078811,-22.634338
-41.400718,-50.361915,-10.539654
-50.899585,-44.805973,-4.146749
-55.380184,-41.400718,-8.811842
-42.117614,-51.795703,-12.267467
-42.117614,-51.795703,-12.267467
-29.034271,-53.050273,-8.293498
-14.875584,-47.135883,0.172781
-14.69636,-40.146152,10.712436
-16.847045,-33.335643,15.55031
-16.847045,-33.335643,15.55031
-18.818508,-24.91212,19.178714
-19.535404,-17.026269,21.252088
-22.940658,-8.961195,20.042621
-19.535404,-1.254567,20.906526
-17.384717,6.989732,18.833152
-17.384717,6.989732,18.833152
-15.950927,10.574211,17.450902
-16.488597,10.753434,19.005933
-13.979464,1.075343,20.388183
-17.205493,-10.753434,20.733745
-17.205493,-10.753434,20.733745
-14.69636,-20.073076,19.005933
-18.818508,-25.270568,21.252088
-15.771703,-25.091344,17.623683
-14.337912,-27.242031,17.278121
-13.262569,-28.317375,17.623683
-13.262569,-28.317375,17.623683
-13.80024,-38.17469,10.194092
-17.026269,-44.268302,6.738467
-14.69636,-26.525136,17.969245
-15.413255,-6.45206,21.079307
-17.384717,-19.535404,22.288776
-17.384717,-19.535404,22.288776
-17.384717,-41.400718,10.539654
-14.517136,-15.950927,19.869838
-9.498867,-3.405254,18.833152
-13.441793,-25.270568,18.48759
-6.810508,-17.563941,17.623683
-6.810508,-17.563941,17.623683
-2.509135,-3.584478,17.278121
-4.839045,-16.667821,17.10534
0.537672,-7.706627,14.686404
2.867582,-13.979464,12.440248
